,model,columns,best_params,training_time,accuracy,precision,recall,f1,roc_auc,mean_fit_time,predict_time
0,GaussianNB,['Sex'],{},0.8611929416656494,0.8315,0.7353,0.806,0.769,0.826,0.002,0.001
1,KNeighborsClassifier,['Sex'],{'n_neighbors': 12},1.1996190547943115,0.6517,0.0,0.0,0.0,0.826,0.002,0.002
2,LinearDiscriminantAnalysis,['Sex'],{},0.031055212020874023,0.8315,0.7353,0.806,0.769,0.826,0.002,0.001
3,QuadraticDiscriminantAnalysis,['Sex'],{},0.017922639846801758,0.8315,0.7353,0.806,0.769,0.826,0.001,0.0
4,DecisionTreeClassifier,['Sex'],"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.15360665321350098,0.8315,0.7353,0.806,0.769,0.826,0.002,0.0
5,RandomForestClassifier,['Sex'],"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",12.296665668487549,0.8315,0.7353,0.806,0.769,0.826,0.296,0.002
6,SVC,['Sex'],"{'C': 0.1, 'degree': 2}",0.07704997062683105,0.8315,0.7353,0.806,0.769,,0.006,0.001
7,GaussianNB,['Age'],{},0.02878427505493164,0.6292,0.0,0.0,0.0,0.58,0.001,0.0
8,KNeighborsClassifier,['Age'],{'n_neighbors': 3},0.040059804916381836,0.618,0.4444,0.387,0.414,0.597,0.002,0.001
9,LinearDiscriminantAnalysis,['Age'],{},0.028870344161987305,0.6517,0.0,0.0,0.0,0.576,0.002,0.001
10,QuadraticDiscriminantAnalysis,['Age'],{},0.017796754837036133,0.6292,0.0,0.0,0.0,0.58,0.002,0.0
11,DecisionTreeClassifier,['Age'],"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.12514448165893555,0.6854,0.5714,0.387,0.462,0.58,0.002,0.0
12,RandomForestClassifier,['Age'],"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",14.786407232284546,0.6742,0.5455,0.387,0.453,0.595,0.349,0.006
13,SVC,['Age'],"{'C': 1, 'degree': 2}",0.13617444038391113,0.6517,0.5,0.065,0.114,,0.017,0.002
14,GaussianNB,['Fare'],{},0.0282442569732666,0.7191,0.8,0.258,0.39,0.672,0.001,0.001
15,KNeighborsClassifier,['Fare'],{'n_neighbors': 3},0.043126821517944336,0.618,0.4571,0.516,0.485,0.645,0.002,0.001
16,LinearDiscriminantAnalysis,['Fare'],{},0.018664121627807617,0.7191,0.8,0.258,0.39,0.681,0.002,0.0
17,QuadraticDiscriminantAnalysis,['Fare'],{},0.0180356502532959,0.7191,0.8,0.258,0.39,0.671,0.002,0.0
18,DecisionTreeClassifier,['Fare'],"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.1366596221923828,0.7191,0.6,0.581,0.59,0.689,0.002,0.001
